CODIGO,HIJO,NOMBRE,DESCRIPCION CORTA,DESCRIPCION LARGA,CATEGORIA,SUBSUBCATEGORIA1,SUBSUBCATEGORIA2,SUBSUBCATEGORIA3,SUBSUBCATEGORIA4,MARCA,RANGO,AMPERAJE,VOLTAJE,POLOS,OHMS,WATTS,TAMAÑO,SALIDA  RELEVADOR,OPCIONES SALIDA,CARACTERISTICA,CARACTERISTICA2,CARACTERISTICA3,RELACIONADOS,IMAGEN
M40AR2-5,M40A,,,,,,,,,,,,,,,,,R2 2 RELEV,S2 RS232,,,,,M40A.JPG
M40AR2-6,M40A,,,,,,,,,,,,,,,,,R2 2 RELEV,T1 1 TRANSISTOR,,,,,M40A.JPG
M40AR2-7,M40A,,,,,,,,,,,,,,,,,R2 2 RELEV,SSR 1 CONTROL SSR ,,,,,M40A.JPG
M40AR4-4,M40A,FEMA indicador VCA/ACA M40A ,indicador VCA/ACA FEMA MOD: M40A,"Voltmetro AC y amperímetro AC para panel,rangos 600?Vac, 100?Vac, 10?Vac, 1?Vac, 0.1?Vac 5?Aac, 1?A. Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Medida en verdadero valor efcaz (True?RMS). Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU. ",Medición,Equipo para tablero digital,Amperimetro Digital CA,,,,,,,,,,,R4 4 RELEV,AO SALIDA ANALOGICA,,,,,M40A.JPG
M40AR4-5,M40A,,,,,,,,,,,,,,,,,R4 4 RELEV,RTU MODBUS,,,,,M40A.JPG
M40AR4-6,M40A,,,,,,,,,,,,,,,,,R4 4 RELEV,S4 RS485,,,,,M40A.JPG
M40AR4-7,M40A,,,,,,,,,,,,,,,,,R4 4 RELEV,S2 RS232,,,,,M40A.JPG
M40AR4-8,M40A,,,,,,,,,,,,,,,,,R4 4 RELEV,T1 1 TRANSISTOR,,,,,M40A.JPG
M40AR4-9,M40A,,,,,,,,,,,,,,,,,R4 4 RELEV,SSR 1 CONTROL SSR ,,,,,M40A.JPG
M40AR6-6-6,M40A,FEMA indicador VCA/ACA M40A ,indicador VCA/ACA FEMA MOD: M40A,"Voltmetro AC y amperímetro AC para panel,rangos 600?Vac, 100?Vac, 10?Vac, 1?Vac, 0.1?Vac 5?Aac, 1?A. Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Medida en verdadero valor efcaz (True?RMS). Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU. ",Medición,Equipo para tablero digital,Amperimetro Digital CA,,,,,,,,,,,R6 6 RELEV,AO SALIDA ANALOGICA,,,,,M40A.JPG
M40AR6-6-7,M40A,,,,,,,,,,,,,,,,,R6 6 RELEV,RTU MODBUS,,,,,M40A.JPG
M40AR6-6-8,M40A,,,,,,,,,,,,,,,,,R6 6 RELEV,S4 RS485,,,,,M40A.JPG
M40AR6-6-9,M40A,,,,,,,,,,,,,,,,,R6 6 RELEV,S2 RS232,,,,,M40A.JPG
M40AR6-6-10,M40A,,,,,,,,,,,,,,,,,R6 6 RELEV,T1 1 TRANSISTOR,,,,,M40A.JPG
M40AR6-6-11,M40A,,,,,,,,,,,,,,,,,R6 6 RELEV,SSR 1 CONTROL SSR ,,,,,M40A.JPG
M40P,,FEMA indicador  procesos M40P,indicador procesos  FEMA MOD. M40P,"Indicador de panel para señales de proceso en mA y Vdc. Acepta señales de entrada de 4/20mA, 0/10Vdc, ±20mA y ±10Vdc.Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Proporciona tensión de excitación para el sensor. Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU.",Medición,Equipo para tablero digital,Proceso,,,FEMA,,,,,,,,R1 1 RELEVADOR|R2 2 RELEV |R4 4 RELEV|R6 6 RELEV ,AO SALIDA ANALOGICA |RTU MODBUS|S4 RS485 |S2 RS232 | T1 1 TRANSISTOR | SSR 1 CONTROL SSR | ,,,,,M40P.JPG
M40P-1,M40P,FEMA indicador  procesos M40P,indicador procesos  FEMA MOD. M40P,"Indicador de panel para señales de proceso en mA y Vdc. Acepta señales de entrada de 4/20mA, 0/10Vdc, ±20mA y ±10Vdc.Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Proporciona tensión de excitación para el sensor. Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU.",Medición,Equipo para tablero digital,Proceso,,,FEMA,,,,,,,,R1 1 RELEVADOR,AO SALIDA ANALOGICA,,,,,
M40P-2,M40P,,,,,,,,,,,,,,,,,R1 1 RELEVADOR,RTU MODBUS,,,,,
M40P-3,M40P,,,,,,,,,,,,,,,,,R1 1 RELEVADOR,S4 RS485,,,,,
M40P-4,M40P,,,,,,,,,,,,,,,,,R1 1 RELEVADOR,S2 RS232,,,,,
M40P-5,M40P,,,,,,,,,,,,,,,,,R1 1 RELEVADOR,T1 1 TRANSISTOR,,,,,
M40P-6,M40P,,,,,,,,,,,,,,,,,R1 1 RELEVADOR,SSR 1 CONTROL SSR ,,,,,
M40P-7,M40P,FEMA indicador  procesos M40P,indicador procesos  FEMA MOD. M40P,"Indicador de panel para señales de proceso en mA y Vdc. Acepta señales de entrada de 4/20mA, 0/10Vdc, ±20mA y ±10Vdc.Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Proporciona tensión de excitación para el sensor. Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU.",Medición,Equipo para tablero digital,Proceso,,,FEMA,,,,,,,,R2 2 RELEV,AO SALIDA ANALOGICA,,,,,
M40P-8,M40P,,,,,,,,,,,,,,,,,R2 2 RELEV,RTU MODBUS,,,,,
M40P-9,M40P,,,,,,,,,,,,,,,,,R2 2 RELEV,S4 RS485,,,,,
M40P-10,M40P,,,,,,,,,,,,,,,,,R2 2 RELEV,S2 RS232,,,,,
M40P-11,M40P,,,,,,,,,,,,,,,,,R2 2 RELEV,T1 1 TRANSISTOR,,,,,
M40P-12,M40P,,,,,,,,,,,,,,,,,R2 2 RELEV,SSR 1 CONTROL SSR ,,,,,
M40P-13,M40P,FEMA indicador  procesos M40P,indicador procesos  FEMA MOD. M40P,"Indicador de panel para señales de proceso en mA y Vdc. Acepta señales de entrada de 4/20mA, 0/10Vdc, ±20mA y ±10Vdc.Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Proporciona tensión de excitación para el sensor. Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU.",Medición,Equipo para tablero digital,Proceso,,,FEMA,,,,,,,,R4 4 RELEV,AO SALIDA ANALOGICA,,,,,
M40P-14,M40P,,,,,,,,,,,,,,,,,R4 4 RELEV,RTU MODBUS,,,,,
M40P-15,M40P,,,,,,,,,,,,,,,,,R4 4 RELEV,S4 RS485,,,,,
M40P-16,M40P,,,,,,,,,,,,,,,,,R4 4 RELEV,S2 RS232,,,,,
M40P-17,M40P,,,,,,,,,,,,,,,,,R4 4 RELEV,T1 1 TRANSISTOR,,,,,
M40P-18,M40P,,,,,,,,,,,,,,,,,R4 4 RELEV,SSR 1 CONTROL SSR ,,,,,
M40P-19,M40P,FEMA indicador  procesos M40P,indicador procesos  FEMA MOD. M40P,"Indicador de panel para señales de proceso en mA y Vdc. Acepta señales de entrada de 4/20mA, 0/10Vdc, ±20mA y ±10Vdc.Indicación de 4 dígitos de 14?mm de altura. Tamaño 96?x?48?mm para montaje en panel. Proporciona tensión de excitación para el sensor. Alimentación universal alta o baja en AC / DC. Opciones de salida relé, transistor, control SSR, salida analógica y comunicaciones MODBUS RTU.",Medición,Equipo para tablero digital,Proceso,,,FEMA,,,,,,,,R6 6 RELEV,AO SALIDA ANALOGICA,,,,,
M40P-20,M40P,,,,,,,,,,,,,,,,,R6 6 RELEV,RTU MODBUS,,,,,
M40P-21,M40P,,,,,,,,,,,,,,,,,R6 6 RELEV,S4 RS485,,,,,
M40P-22,M40P,,,,,,,,,,,,,,,,,R6 6 RELEV,S2 RS232,,,,,
M40P-23,M40P,,,,,,,,,,,,,,,,,R6 6 RELEV,T1 1 TRANSISTOR,,,,,
M40P-24,M40P,,,,,,,,,,,,,,,,,R6 6 RELEV,SSR 1 CONTROL SSR ,,,,,
C40D,,FEMA INDICADOR MULTISEÑAL C40D,Indicador multiseñal  FEMA MOD. C40D ,"Indicador de panel multiseñal configurable de 4 digitos   para señales de proceso (mA Vcd) , Temperatura : termopares ( K,J,E,N,L,SB,T,C), Pt100,Pt500,Pt1000, Ni100, Ni200, Ni1000, PTC y NYC , Resistencia, Voltaje CA y CD (hasta 400V) Corriente CA, CD ( hasta 5A).Tamaño 96x48mm .Opciones: control relevador, salida analogica, salida MODBUS RTU",Medición,Equipo para tablero digital,Multifunción,,,FEMA,,,,,,,,A1(1RELEVADOR )|A2 (2o RELEVADOR),Analogica (4-20mA)|MODBUS RTU,,,,"A1, A2",c40d.jpg
C40D-1,C40D,FEMA INDICADOR MULTISEÑAL C40D,Indicador multiseñal  FEMA MOD. C40D ,"Indicador de panel multiseñal configurable de 4 digitos   para señales de proceso (mA Vcd) , Temperatura : termopares ( K,J,E,N,L,SB,T,C), Pt100,Pt500,Pt1000, Ni100, Ni200, Ni1000, PTC y NYC , Resistencia, Voltaje CA y CD (hasta 400V) Corriente CA, CD ( hasta 5A).Tamaño 96x48mm .Opciones: control relevador, salida analogica, salida MODBUS RTU",,Equipo para tablero digital,Multifunción,,,FEMA,,,,,,,,A1(1RELEVADOR ),Analogica (4-20mA),,,,"A1, A2",c40d.jpg
C40D-2,C40D,,,,,,,,,,,,,,,,,A1(1RELEVADOR ),MODBUS RTU,,,,"A1, A2",c40d.jpg
C40D-3,C40D,FEMA INDICADOR MULTISEÑAL C40D,Indicador multiseñal  FEMA MOD. C40D ,"Indicador de panel multiseñal configurable de 4 digitos   para señales de proceso (mA Vcd) , Temperatura : termopares ( K,J,E,N,L,SB,T,C), Pt100,Pt500,Pt1000, Ni100, Ni200, Ni1000, PTC y NYC , Resistencia, Voltaje CA y CD (hasta 400V) Corriente CA, CD ( hasta 5A).Tamaño 96x48mm .Opciones: control relevador, salida analogica, salida MODBUS RTU",,Equipo para tablero digital,Multifunción,,,FEMA,,,,,,,,A2 (2o RELEVADOR),Analogica (4-20mA),,,,"A1, A2",c40d.jpg
C40D-4,C40D,,,,,,,,,,,,,,,,,A2 (2o RELEVADOR),MODBUS RTU,,,,"A1, A2",c40d.jpg
